FID,MASK,X,Y,landcover,geology,flowaccum,winter_rad
132,0,752747.2583,3850126.465,3,2,1,3
133,0,746678.1924,3847352.483,1,1,1,2
134,0,755934.1968,3842054.377,1,3,2,2
135,0,744952.2738,3839029.542,10,4,3,3
136,0,751867.7999,3840544.347,3,3,1,3
137,0,726907.8175,3850527.519,4,5,1,3
138,0,727498.4261,3848989.069,3,5,1,3
139,0,728504.3231,3854528.549,4,2,1,3
140,0,735642.4312,3844423.13,4,2,2,3
141,0,745471.3444,3854715.027,1,2,1,3
142,0,739286.3053,3855021.386,4,2,1,2
143,0,743933.542,3839776.16,4,1,2,3
144,0,727240.6394,3855382.856,4,2,2,3
145,0,746444.2041,3844338.284,4,3,1,3
146,0,747870.3334,3852364.367,0,2,1,2
147,0,748259.2249,3851183.434,4,2,2,3
148,0,754725.9214,3852102.428,1,3,2,2
149,0,743767.7726,3846303.972,1,2,2,2
150,0,744759.7527,3853612.325,14,1,1,3
151,0,741460.8701,3848609.797,10,4,1,2
152,0,743191.5117,3839449.377,10,4,1,3
153,0,738481.0372,3841047.075,1,1,1,2
154,0,745059.115,3856350.109,4,1,1,2
155,0,749345.376,3844714.678,3,3,1,2
156,0,754378.3286,3841511.041,3,3,1,3
157,0,736336.0145,3852852.424,10,1,2,3
158,0,752961.3666,3847115.769,14,4,3,3
159,0,752361.448,3848796.928,3,1,1,3
160,0,739817.8154,3846527.114,4,2,1,2
161,0,742247.6869,3852154.388,4,1,1,2
162,0,734962.7612,3844716.642,4,1,1,3
163,0,745685.065,3849987.629,14,1,1,2
164,0,734118.9238,3843646.825,4,5,2,3
165,0,731578.4587,3854603.616,4,2,1,3
166,0,755236.1401,3842975.602,1,3,1,3
167,0,745252.1569,3839796.317,4,1,1,2
168,0,747103.8424,3846568.313,3,2,1,1
169,0,752693.6711,3849602.343,1,1,1,2
170,0,748078.3414,3845301.936,3,3,2,2
171,0,739738.4928,3839029.811,5,5,1,3
172,0,756327.4764,3851588.985,1,3,2,3
173,0,728365.8633,3855645.117,3,5,1,3
174,0,730501.7508,3851163.615,5,4,1,3
175,0,742923.3207,3841631.615,3,2,1,1
176,0,738206.0634,3852499.69,4,1,1,2
177,0,728210.4826,3840108.904,1,5,1,3
178,0,744561.9065,3846932.157,10,1,1,2
179,0,730225.601,3850345.946,4,2,1,1
180,0,737754.9237,3842361.084,3,1,2,3
181,0,754646.4915,3853300.632,1,3,1,2
182,0,745632.313,3853571.306,14,2,2,2
183,0,737398.6089,3846792.75,2,2,1,1
184,0,729836.8802,3854633.413,1,5,1,2
185,0,752789.9578,3852050.074,1,3,1,3
186,0,745499.5494,3856265.487,1,1,1,3
187,0,750735.206,3853367.327,1,2,3,2
188,0,735230.9718,3851265.255,10,4,1,2
189,0,751618.7058,3842502.597,3,3,1,3
190,0,746969.0464,3843363.283,3,3,1,2
191,0,728544.1714,3842098.936,4,4,2,2
192,0,728211.8355,3842530.113,8,3,1,2
193,0,734873.0205,3852380.476,10,4,1,3
194,0,747967.3067,3849693.512,1,1,1,3
195,0,753897.5938,3840276.435,4,3,1,3
196,0,737174.7654,3853821.979,3,1,1,3
197,0,735889.3358,3855145.592,14,2,2,2
198,0,753365.953,3846840.272,10,4,1,2
199,0,731790.4659,3848052.079,4,3,1,3
200,0,736771.4408,3844352.285,3,2,1,3
201,0,754831.9007,3855948.377,1,3,1,3
202,0,732752.9861,3847675.434,4,3,1,3
203,0,742655.5799,3847869.945,1,1,1,3
204,0,733091.3311,3840104.299,11,5,1,3
205,0,745420.8892,3842026.115,3,3,1,1
206,0,740362.4113,3840359.696,1,5,1,3
207,0,754966.7765,3853247.759,1,3,1,3
208,0,733015.6946,3843784.876,11,5,1,3
209,0,732931.57,3842416.275,3,5,2,3
210,0,733852.6099,3849149.062,1,1,1,2
211,0,747099.028,3839498.5,4,2,3,3
212,0,752180.7126,3854091.229,1,2,2,2
213,0,754591.454,3852119.216,1,3,1,2
214,0,740566.9278,3842160.296,4,2,1,2
215,0,744248.4243,3853728.644,14,1,1,3
216,0,738000.5261,3854369.497,4,1,1,3
217,0,745924.652,3848085.508,1,4,1,2
218,0,753530.3174,3853393.813,1,3,1,2
219,0,739524.7524,3849362.545,10,1,1,3
220,0,747510.5651,3840626.72,3,3,1,3
221,0,743691.1421,3844556.663,4,3,1,2
222,0,727829.7312,3846773.12,8,5,2,3
223,0,746315.136,3839866.687,4,2,1,2
224,0,731397.6978,3853915.413,1,2,1,3
225,0,725900.1658,3847836.041,11,5,2,3
226,0,739152.8835,3846912.911,4,2,1,2
227,0,734820.2697,3846961.694,2,3,1,2
228,0,727287.2149,3842186.705,8,5,1,3
229,0,737531.2244,3850413.173,4,1,2,3
230,0,748513.8324,3846884.521,1,1,1,3
231,0,730749.0209,3853206.934,1,2,1,2
232,0,751878.557,3841343.35,3,3,2,2
233,0,745991.1287,3846951.077,1,1,1,1
234,0,745348.0872,3842786.796,4,3,1,3
235,0,736411.0095,3846409.753,2,3,1,2
236,0,731690.1788,3845838.064,3,5,1,2
237,0,751391.3417,3854646.187,3,2,1,1
238,0,743893.0023,3855199.17,4,1,1,3
239,0,752192.9397,3850916.897,10,2,1,3
240,0,750399.3217,3841058.102,4,3,2,3
241,0,750110.6076,3850508.854,0,2,1,2
242,0,756402.6892,3850064.916,1,2,1,3
243,0,743982.1416,3840845.711,4,2,1,3
244,0,747932.0659,3840082.436,4,3,1,2
245,0,736966.7149,3852939.684,10,1,1,3
246,0,743197.448,3856341.438,4,1,1,2
247,0,741861.1738,3850082.386,10,1,2,3
248,0,752359.449,3854849.916,1,2,1,3
249,0,745997.3965,3850264.841,14,1,1,3
250,0,755758.8751,3843157.52,1,3,1,3
251,0,730313.0944,3841787.144,4,5,1,3
252,0,748867.7131,3854209.629,4,2,1,2
253,0,744526.5137,3856076.779,4,1,1,3
254,0,747786.4072,3846208.81,3,3,1,1
255,0,731472.4096,3844628.091,3,5,1,3
256,0,741774.2288,3848776.689,1,4,1,2
257,0,751163.2267,3846514.745,3,1,1,2
258,0,733736.083,3853660.279,1,1,1,2
259,0,741661.3071,3848522.01,1,1,1,2
260,0,731603.3205,3840237.393,1,5,1,3
261,0,745311.8337,3841841.116,4,3,1,3
262,0,738869.9749,3853834.886,3,2,1,2
263,0,737422.3333,3844670.99,3,2,1,2
264,0,730771.2281,3844988.593,3,5,1,3
265,0,738839.9776,3852467.107,3,1,2,2
266,0,726140.1385,3852294.061,1,5,1,3
267,0,751047.5151,3852481.249,1,3,3,3
268,0,756105.5866,3852188.06,1,3,1,2
269,0,731919.4486,3846841.484,1,5,1,3
270,0,747005.5475,3840819.561,1,3,2,3
271,0,737618.1491,3845912.14,4,2,1,2
272,0,736424.809,3856139.055,1,2,1,3
273,0,738363.4283,3846144.699,4,2,1,3
274,0,729323.1569,3840729.551,1,5,1,3
275,0,727752.1941,3841611.385,8,5,1,3
276,0,736712.3777,3840576.299,3,4,1,2
277,0,726023.6373,3848451.595,11,5,1,3
278,0,736270.4162,3845624.857,3,2,1,2
279,0,740975.023,3851499.687,1,1,1,2
280,0,726703.3398,3854776.553,4,5,1,2
281,0,750233.1597,3844718.731,3,3,3,2
282,0,738792.6787,3855959.847,1,2,1,3
283,0,737699.3115,3839727.935,3,5,1,3
284,0,727840.3289,3849176.157,4,5,2,3
285,0,755210.7024,3839144.299,4,3,1,1
286,0,735532.8276,3848024.291,4,2,1,2
287,0,733363.2935,3841420.654,3,5,1,3
288,0,751740.2549,3847678.832,14,1,1,3
289,0,753834.3821,3838919.845,4,3,2,3
290,0,726046.1886,3852240.244,1,5,1,3
291,0,734966.9958,3840926.393,4,5,3,3
292,0,746382.8223,3844489.627,4,3,1,3
293,0,737151.5642,3848354.586,1,1,1,2
294,0,753511.8857,3843437.095,4,3,1,3
295,0,747104.9149,3846835.161,1,2,1,2
296,0,735344.724,3845244.697,2,1,1,3
297,0,746047.0701,3849881.923,11,1,1,2
298,0,738954.8668,3845384.056,1,2,1,3
299,0,754833.2135,3848935.638,1,1,1,3
300,0,748544.5052,3842552.069,10,3,2,2
301,0,734422.0542,3841909.77,3,5,2,3
302,0,755612.0709,3847300.813,1,1,2,3
303,0,745146.0516,3849506.6,10,4,1,3
304,0,729821.9453,3848376.211,1,5,2,3
305,0,748967.79,3846062.671,3,3,2,2
306,0,755048.8752,3847173.606,3,1,1,3
307,0,736173.7458,3846509.733,2,3,1,2
308,0,730225.0421,3843343.199,8,5,2,3
309,0,746013.5844,3848834.91,0,4,1,3
310,0,733419.6834,3846972.693,4,3,1,1
311,0,752328.1379,3856135.856,1,1,1,2
312,0,738371.123,3852851.294,3,1,1,3
313,0,755856.91,3852558.639,1,3,1,2
314,0,751013.801,3852242.423,1,3,1,2
315,0,745395.1745,3852271.729,1,1,2,3
316,0,734740.9419,3852650.095,10,4,2,2
317,0,745942.2819,3843292.59,4,3,1,3
318,0,743311.9787,3841083.095,4,2,1,2
319,0,739560.4722,3850262.689,10,1,2,2
320,0,753694.6027,3853696.326,1,3,1,1
321,0,738860.4273,3850535.405,1,1,1,2
322,0,741299.7917,3842447.843,1,2,1,2
323,0,737058.2424,3855124.657,10,2,1,3
324,0,736998.152,3851458.99,10,1,1,2
325,0,752745.4332,3853897.938,1,2,1,2
326,0,728855.145,3843908.09,4,4,1,2
327,0,755091.2773,3849109.554,1,1,1,3
328,0,734832.3901,3849558.748,10,4,1,2
329,0,749393.7204,3851561.786,1,2,3,3
330,0,754956.0741,3843714.821,4,3,1,3
331,0,746923.5298,3853604.934,3,2,2,2
332,0,743875.8097,3852799.081,1,1,3,3
333,0,744541.3864,3845658.405,4,3,1,2
334,0,744737.2881,3854761.257,4,2,1,2
335,0,746905.6776,3855482.986,11,1,3,2
336,0,738433.2112,3847079.66,3,1,1,1
337,0,740539.5259,3849511.23,1,1,1,3
338,0,750690.8568,3842956.511,4,3,1,3
339,0,745236.7408,3842764.561,4,3,2,2
340,0,740173.4533,3853643.921,3,1,1,2
341,0,728525.9944,3846779.187,8,5,1,3
342,0,748279.1005,3844875.879,3,3,1,2
343,0,755771.3757,3844655.799,4,1,1,2
344,0,741152.4896,3847776.022,3,1,2,2
345,0,729206.3075,3842424.82,0,5,1,2
346,0,748142.3898,3844918.083,3,3,2,2
347,0,737112.4546,3853524.53,10,1,2,2
348,0,727220.1569,3839284.022,10,4,1,3
349,0,748694.4424,3848093.409,10,4,1,3
350,0,730704.922,3849229.559,4,3,1,3
351,0,737636.6303,3856191.703,3,2,1,3
352,0,740036.0986,3852413.253,1,1,1,2
353,0,742075.4662,3854374.28,10,1,1,3
354,0,742938.8672,3841568.513,3,2,1,2
355,0,739368.6448,3852105.005,3,1,1,2
356,0,730596.3579,3840170.663,1,5,1,3
